Step,Training Loss,rewards / chosen,rewards / rejected,rewards / accuracies,rewards / margins,logps / rejected,logps / chosen,logits / rejected,logits / chosen
33,0.6759,0.076809,0.040133,0.625,0.036677,-344.660828,-483.157196,0.412885,-0.410677
34,0.6772,0.016841,-0.018513,0.75,0.035354,-293.107452,-434.200623,0.171731,-0.316858
35,0.6837,-0.00778,-0.027416,0.625,0.019636,-272.645325,-401.27832,0.100316,-0.198964
36,0.6855,-0.053692,-0.070079,0.625,0.016387,-276.980347,-338.496826,0.279614,-0.334828
37,0.6366,0.107143,-0.014373,0.75,0.121516,-306.550446,-579.342041,0.04427,-0.369881
38,0.6215,0.094382,-0.05844,0.875,0.152822,-270.146576,-515.872925,0.099049,-0.55245
39,0.6524,0.115478,0.027225,0.625,0.088252,-291.3526,-447.435059,0.142493,-0.633798
40,0.6347,0.265436,0.142995,1,0.122441,-298.456116,-738.076111,0.319564,-0.114312
41,0.6496,0.156603,0.0627,0.75,0.093902,-270.153961,-468.120361,0.067793,-0.431738
42,0.664,0.122283,0.061831,0.875,0.060452,-282.405579,-463.668915,0.315635,-0.138344
43,0.6374,0.276409,0.158702,0.875,0.117707,-292.37616,-443.900635,0.172603,-0.205442
44,0.6143,0.168209,-0.007104,0.875,0.175313,-290.462891,-513.410706,0.267474,-0.471089
45,0.6722,0.227867,0.181187,0.5,0.04668,-325.379181,-507.273621,0.291201,-0.464211
46,0.6442,0.220681,0.118335,0.875,0.102346,-274.793762,-309.604279,0.011586,-0.279451
47,0.6575,0.242336,0.168146,0.75,0.07419,-309.190277,-456.673157,0.256428,-0.296565
48,0.593,0.198123,-0.018572,1,0.216695,-290.997284,-401.086731,0.267531,-0.48944
49,0.6214,0.354217,0.188172,0.75,0.166045,-293.428802,-430.190125,0.150688,-0.29616
50,0.648,0.106585,0.010537,0.75,0.096049,-284.556488,-349.110168,0.371194,-0.419169
51,0.5909,0.200217,-0.026715,1,0.226932,-269.696594,-538.669861,0.003269,-0.299563
52,0.5742,0.357973,0.093024,0.875,0.264948,-311.796204,-494.552521,0.21569,-0.528174
53,0.5715,0.318326,0.047826,0.875,0.270501,-297.805664,-564.053101,0.096351,-0.419355
54,0.5195,0.57388,0.183655,1,0.390225,-271.449036,-714.68689,0.23075,-0.261001
55,0.5813,0.482372,0.235979,1,0.246393,-308.683533,-567.439697,-0.003369,-0.330827
56,0.5503,0.413121,0.092566,1,0.320555,-268.838715,-599.996094,0.175903,-0.366234
57,0.6042,0.405869,0.205757,0.75,0.200112,-269.398163,-403.037598,-0.006234,-0.180855
58,0.5378,0.478205,0.116102,0.875,0.362102,-282.707733,-394.303223,0.223263,-0.285166
59,0.5698,0.514643,0.236511,0.875,0.278133,-304.160217,-458.352417,0.294051,-0.589141
60,0.5577,0.529164,0.225454,1,0.30371,-275.260376,-295.256989,0.135447,-0.466336
61,0.4997,0.698276,0.236272,0.875,0.462004,-297.906464,-647.091431,0.210966,-0.393194
62,0.4417,0.642054,-0.018418,1,0.660472,-292.733734,-555.837158,0.26994,-0.519195
63,0.4741,0.572777,0.057002,1,0.515775,-277.452454,-458.583252,-0.034406,-0.571626
64,0.5148,0.801253,0.386344,0.875,0.41491,-280.197449,-394.379639,0.057425,-0.406951
65,0.3703,1.123337,0.20814,1,0.915197,-300.855469,-736.518555,0.12473,-0.343143
66,0.5124,0.809611,0.346249,0.75,0.463362,-256.118469,-451.135925,-0.045536,-0.318502
67,0.4379,0.846157,0.141674,1,0.704483,-303.281616,-484.289032,0.210637,-0.413811
68,0.3715,1.238963,0.192041,0.875,1.046922,-287.52243,-692.493408,0.266601,-0.439985
69,0.4847,0.654683,0.145854,0.875,0.508829,-284.637238,-302.777405,-0.067717,-0.561391
70,0.4793,0.811266,0.28778,1,0.523486,-296.157684,-327.845551,0.153765,-0.537091
71,0.4513,1.004374,0.283472,0.875,0.720901,-275.643768,-374.290771,0.143364,-0.295635
72,0.4637,1.098675,0.49352,1,0.605155,-284.219727,-549.358643,0.228524,-0.370881
73,0.3419,1.641044,0.504477,1,1.136567,-266.374542,-807.921936,0.135599,-0.454767
74,0.4261,1.376157,0.570338,0.875,0.805819,-299.039734,-645.670593,0.14155,-0.221417
75,0.4216,1.360248,0.491895,0.875,0.868354,-295.595337,-572.713928,0.292812,-0.510508
76,0.4131,1.120223,0.296821,0.875,0.823402,-299.323792,-340.48941,0.046019,-0.322333
77,0.2898,1.990782,0.670667,1,1.320115,-290.859406,-615.684937,0.190517,-0.378061
78,0.3813,1.336707,0.450821,0.875,0.885886,-291.122742,-436.063965,0.136676,-0.183935
79,0.4536,1.327893,0.630652,0.875,0.697242,-254.434906,-343.056885,0.077795,-0.232039
80,0.3526,1.313139,0.230692,1,1.082446,-288.205566,-595.469604,0.166081,-0.306436
81,0.3523,1.479363,0.473254,0.875,1.006109,-257.84726,-704.682922,0.217301,-0.224437
82,0.2348,1.734038,0.336526,1,1.397513,-265.29776,-614.179871,0.170738,-0.371847
83,0.2574,1.952571,0.549684,1,1.402887,-299.72345,-340.100433,0.142208,-0.492958
84,0.3702,1.531197,0.572041,0.875,0.959156,-310.547089,-405.68219,0.157503,-0.404473
85,0.3719,1.87291,0.398823,0.875,1.474087,-309.871368,-402.959625,0.240451,-0.564643
86,0.2537,2.334048,0.630479,0.875,1.703569,-293.592407,-488.930298,0.109277,-0.619606
87,0.2868,1.999937,0.53467,0.875,1.465266,-273.232422,-522.853638,0.033893,-0.272937
88,0.2535,2.059141,0.697552,1,1.361588,-286.12674,-451.861328,0.137062,-0.3108
89,0.2901,2.030944,0.44548,1,1.585464,-264.050323,-523.40625,0.166853,-0.421818
90,0.1369,2.729506,0.531057,1,2.198449,-304.379333,-526.427551,0.095664,-0.90006
91,0.1797,2.573144,0.503492,1,2.069652,-269.107574,-668.461975,0.170987,-0.450937
92,0.148,2.484279,0.248081,1,2.236198,-281.006958,-481.409912,0.270961,-0.477783
93,0.2579,2.051723,0.743273,1,1.30845,-302.127686,-419.649353,0.151431,-0.477518
94,0.1976,2.196254,0.437073,1,1.759181,-280.462006,-405.236084,0.190857,-0.181804
95,0.2179,2.151119,0.350403,1,1.800716,-280.361481,-348.962524,0.10176,-0.616823
96,0.2158,2.730493,0.845465,1,1.885028,-290.926758,-531.943237,0.20204,-0.277884
97,0.1481,2.801881,0.517502,1,2.28438,-292.623138,-489.54834,0.074354,-0.228499
98,0.2716,2.496452,0.756328,0.875,1.740124,-320.115417,-822.173035,0.236718,-0.249204
99,0.1799,2.446681,0.430307,1,2.016374,-274.34079,-641.994568,0.106286,-0.241667
100,0.19,2.320135,0.161585,1,2.158551,-249.33165,-349.948914,0.012677,-0.494283
101,0.3558,2.970473,0.611277,0.875,2.359196,-312.647766,-713.647766,0.260801,-0.41003
102,0.0509,3.412868,0.147559,1,3.265309,-327.007446,-599.756165,0.31453,-0.650496
103,0.1952,3.07137,0.668632,0.875,2.402738,-286.546875,-644.59082,0.166618,-0.384543
104,0.2129,2.147363,0.175993,1,1.97137,-304.8703,-310.99118,0.084206,-0.637825
105,0.0815,3.519415,0.366414,1,3.153001,-292.371368,-740.3078,0.20393,-0.358654
106,0.1524,2.152394,-0.443666,1,2.59606,-299.352875,-616.727722,0.128945,-0.409719
107,0.1064,3.440563,0.560371,1,2.880193,-328.986328,-586.02478,0.165027,-0.384132
108,0.0663,1.973859,-0.881556,1,2.855416,-278.191681,-474.705963,0.263081,-0.438136
109,0.0842,2.82544,-0.236292,1,3.061732,-285.3591,-448.520386,0.270691,-0.463845
110,0.0774,2.36499,-0.658087,1,3.023077,-289.267883,-516.908813,0.145669,-0.520234
111,0.1088,2.065297,-0.40274,1,2.468037,-277.25,-353.908264,0.018538,-0.51322
112,0.2274,2.347666,0.133708,0.875,2.213958,-296.606293,-312.187714,0.064573,-0.339272
113,0.1393,2.489849,-0.130537,1,2.620385,-270.554138,-552.752808,0.140281,-0.246148
114,0.1179,1.932617,-0.46091,1,2.393527,-291.820435,-592.939697,0.040672,-0.291805
115,0.0338,3.656565,-0.030741,1,3.687305,-280.834106,-637.902588,0.334883,-0.412907
116,0.1402,1.553273,-0.720601,1,2.273874,-301.964294,-318.042236,0.105868,-0.411803
117,0.1698,2.069516,-0.456757,0.875,2.526273,-302.593079,-426.551025,0.186787,-0.224495
118,0.101,2.180749,-0.206122,1,2.386872,-312.857361,-392.76358,0.092864,-0.490652
119,0.0606,2.630724,-0.610213,1,3.240937,-263.661469,-530.295471,0.148078,-0.471675
120,0.0872,3.154446,0.230984,1,2.923462,-309.404022,-417.272705,0.01904,-0.446942
121,0.1565,2.236391,-0.545223,1,2.781614,-299.15564,-613.069824,0.05405,-0.267353
122,0.0663,2.56714,-0.614388,1,3.181529,-272.570099,-372.560486,0.152415,-0.134194
123,0.0249,2.71885,-1.204721,1,3.923571,-280.78952,-286.86792,0.148019,-0.494203
124,0.0603,3.951241,-0.150026,1,4.101266,-263.914124,-559.932556,0.090028,-0.149257
125,0.1455,2.216238,-0.424422,1,2.64066,-319.179779,-484.307648,0.169376,-0.481361
126,0.1035,1.975106,-0.85023,1,2.825336,-302.49118,-318.598267,0.146655,-0.484501
127,0.0629,3.484486,-0.12254,1,3.607026,-304.399414,-342.208191,0.110327,-0.72497
128,0.1249,2.974648,-0.937388,0.875,3.912036,-298.833679,-468.244873,0.131862,-0.496178
129,0.0486,2.349101,-1.42672,1,3.775822,-279.798096,-299.67749,0.109985,-0.36257
130,0.0477,2.669846,-1.584455,1,4.254301,-289.803131,-542.448425,-0.018673,-0.301468
131,0.0515,2.12571,-1.328146,1,3.453856,-295.313416,-532.931396,0.246612,-0.430922
132,0.1172,2.773856,-0.618627,1,3.392483,-263.195282,-453.249756,-0.014725,-0.435771
133,0.2541,1.460956,-0.954246,0.875,2.415202,-280.089691,-303.21402,0.014528,-0.464509
134,0.0324,3.045056,-0.9189,1,3.963956,-289.968628,-604.439453,0.028254,-0.369681
135,0.1727,2.942465,-0.147643,1,3.090108,-283.2901,-377.482483,0.100954,-0.449043
136,0.0152,4.136042,-1.370241,1,5.506282,-324.480835,-472.618286,0.134583,-0.788594
137,0.012,3.860614,-1.062065,1,4.922679,-249.110855,-585.242065,-0.050035,-0.411189
138,0.0489,3.702538,-1.067654,1,4.770192,-266.50589,-291.551666,-0.031451,-0.74061
139,0.3485,2.464997,-0.728531,0.875,3.193527,-271.493835,-494.404114,-0.181619,-0.423839
140,0.0798,3.585672,-0.43213,1,4.017803,-263.424561,-511.785522,-0.127267,-0.512018
141,0.0548,2.524778,-1.084625,1,3.609403,-271.721069,-323.782471,-0.069385,-0.515533
142,0.0093,3.295991,-1.698023,1,4.994014,-333.287842,-508.711426,0.049505,-0.300327
143,0.0033,4.96015,-1.088875,1,6.049025,-318.208374,-738.250854,-0.103241,-0.35151
144,0.0141,3.379734,-1.095241,1,4.474976,-312.526367,-342.347656,-0.05496,-0.544427
145,0.0214,4.140376,-1.68879,1,5.829165,-312.197754,-399.309174,0.304245,-0.770555
146,0.0171,4.194855,-1.007496,1,5.202352,-273.020935,-433.851318,-0.02812,-0.63865
147,0.0285,3.043208,-1.74924,1,4.792448,-310.092163,-423.128418,-0.038394,-0.684635
148,0.0084,5.193224,-0.668329,1,5.861553,-277.986023,-749.512573,-0.037723,-0.377682
149,0.0095,3.568863,-2.319523,1,5.888385,-327.81311,-539.070557,0.185802,-0.525318
150,0.0381,3.965355,-0.111001,1,4.076356,-303.952209,-611.852539,-0.158366,-0.48356
151,0.0192,3.012049,-2.120357,1,5.132405,-341.589661,-320.803284,0.103962,-0.626511
152,0.0166,3.091851,-2.273494,1,5.365345,-309.340881,-514.301208,-0.108918,-0.557583
153,0.0062,2.953845,-2.844717,1,5.798562,-321.943176,-326.514923,0.096435,-0.509234
154,0.0084,3.343294,-2.823509,1,6.166804,-310.560089,-394.972504,-0.093203,-0.391092
155,0.019,3.054753,-2.35217,1,5.406923,-303.648468,-556.320374,0.066038,-0.307286
156,0.106,2.361941,-2.857019,1,5.218961,-304.431793,-493.870178,0.032161,-0.34274
157,0.0283,3.626928,-2.055934,1,5.682862,-292.039886,-461.429321,0.007931,-0.588302
158,0.0087,3.286312,-2.072622,1,5.358934,-292.527588,-510.409973,0.014881,-0.445668
159,0.0125,3.166839,-1.787163,1,4.954002,-290.146332,-469.99231,-0.099471,-0.27143
160,0.0232,2.122473,-3.218826,1,5.3413,-311.637726,-655.938232,-0.030738,-0.307871
161,0.0027,2.656728,-4.036259,1,6.692987,-328.185883,-571.800232,0.124797,-0.49189
162,0.0112,2.398013,-3.871895,1,6.269907,-346.694305,-370.921204,0.320167,-0.525982
163,0.0024,2.745789,-4.740145,1,7.485935,-352.521729,-442.493988,0.013897,-0.3407
164,0.0319,1.682391,-3.285674,1,4.968064,-367.154236,-581.898438,0.033124,-0.358235
165,0.003,2.328046,-4.970898,1,7.298943,-326.264343,-338.563293,0.026712,-0.605953
166,0.0746,2.572732,-2.057698,1,4.63043,-305.610718,-560.70282,-0.227568,-0.572777
167,0.0302,2.551278,-3.496043,1,6.04732,-325.756531,-832.91095,-0.052412,-0.276414
168,0.0332,4.244185,-2.915491,1,7.159676,-327.799744,-474.605347,-0.032979,-0.767622
169,0.0032,3.148838,-3.566646,1,6.715484,-298.480042,-503.649658,-0.180314,-0.579027
170,0.0159,3.112521,-4.048883,1,7.161405,-301.32251,-593.474121,-0.050186,-0.476874
171,0.0109,2.450195,-3.373833,1,5.824028,-329.875,-654.259949,0.104146,-0.187566
172,0.012,3.137733,-3.570529,1,6.708261,-309.791138,-295.843872,-0.083189,-0.265605
173,0.0041,2.837225,-3.848479,1,6.685704,-348.248962,-651.174255,0.117541,-0.399516
174,0.0665,2.957839,-2.611249,1,5.569088,-305.277252,-436.796814,0.020621,-0.457099
175,0.0015,2.634692,-4.717327,1,7.35202,-348.798706,-937.780518,-0.140149,-0.176132
176,0.0014,3.625707,-4.27433,1,7.900037,-347.221558,-465.451965,-0.059426,-0.893514
177,0.0162,2.320522,-4.029556,1,6.350079,-347.042847,-419.951721,-0.006641,-0.52291
178,0.0046,2.777309,-3.637806,1,6.415115,-294.765259,-979.711792,-0.049889,-0.174745
179,0.0006,3.622329,-5.531693,1,9.154021,-387.715912,-349.421265,0.044082,-0.602524
180,0.0165,1.684269,-3.892094,1,5.576363,-324.598206,-293.468689,-0.082615,-0.594436
181,0.0933,1.973772,-3.153997,1,5.127769,-340.393066,-329.364227,-0.055178,-0.559424
182,0.1516,2.681556,-3.410498,0.875,6.092055,-319.188507,-362.070007,-0.067436,-0.447112
183,0.0055,2.783146,-4.3895,1,7.172647,-318.460968,-804.29303,-0.107968,-0.661515
184,0.053,2.435723,-4.357012,1,6.792735,-365.348145,-310.045654,-0.030632,-0.860161
185,0.003,3.045557,-3.848711,1,6.894267,-340.045227,-615.030029,-0.132369,-0.453966
186,0.0021,2.055062,-5.562643,1,7.617705,-365.77121,-327.753052,-0.083375,-0.521833
187,0.0505,2.303716,-3.766829,1,6.070544,-305.938843,-519.106262,-0.206972,-0.503695
188,0.1884,2.322119,-3.911298,0.875,6.233417,-335.769165,-509.15509,-0.045772,-0.302037
189,0.0016,2.413996,-4.827886,1,7.241882,-317.021179,-439.200836,-0.192217,-0.503564
190,0.0034,2.972341,-3.963591,1,6.935932,-307.848022,-811.259094,-0.020795,-0.544195
191,0.001,2.250703,-5.464983,1,7.715685,-339.275177,-682.99762,-0.172991,-0.47969
192,0.0118,3.14985,-4.007793,1,7.157643,-319.879517,-748.269165,-0.008495,-0.42664
193,0.1614,1.119956,-4.604034,0.875,5.723991,-333.321686,-456.117279,0.019976,-0.382978
194,0.0005,2.742156,-5.55676,1,8.298916,-363.153381,-527.695374,-0.039015,-0.512435
195,0.0015,2.958952,-4.812792,1,7.771743,-341.641266,-341.187469,-0.197858,-0.981409
196,0.1698,1.381931,-3.567567,0.875,4.949498,-322.076569,-498.001221,0.012918,-0.841877
197,0.0002,3.306142,-6.672899,1,9.979041,-353.618195,-592.751221,-0.013393,-0.532271
198,0.0066,1.344847,-4.922381,1,6.267229,-404.76001,-567.35321,0.136256,-0.428886
199,0.0765,1.717548,-5.847818,1,7.565367,-373.157379,-428.433167,0.019003,-0.569761
200,0.0018,3.687583,-4.021266,1,7.708849,-372.030182,-650.389709,0.13496,-0.505874
201,0.009,2.087869,-5.581209,1,7.669078,-351.78009,-526.546997,-0.017318,-0.35842
202,0.0122,3.035129,-4.797191,1,7.83232,-374.512634,-445.695526,-0.007889,-0.568369
203,0.0019,1.243568,-6.215786,1,7.459354,-341.565735,-578.638611,-0.004878,-0.138693
204,0.2753,0.992156,-5.187165,0.875,6.179321,-341.766541,-628.46582,-0.135005,-0.424039
205,0.0044,2.881109,-4.6545,1,7.535609,-313.288177,-386.137909,-0.181797,-0.471376
206,0.0362,1.92692,-4.507349,1,6.434268,-302.775696,-575.526733,-0.125643,-0.590148
207,0.0108,2.578355,-4.618563,1,7.196918,-332.219452,-553.664856,-0.121105,-0.470814
208,0.0023,1.685751,-6.036816,1,7.722568,-386.586853,-475.983337,0.01813,-0.525614
209,0.0059,1.677259,-5.071853,1,6.749111,-311.929504,-319.441071,-0.228408,-0.538243
210,0.0003,1.197607,-8.448879,1,9.646486,-385.825897,-332.373413,0.02739,-0.560522
211,0.0091,0.989947,-4.830963,1,5.82091,-351.056335,-514.847412,-0.045373,-0.430362
212,0.0063,0.969794,-6.399096,1,7.36889,-341.776672,-816.119507,0.022674,-0.187856
213,0.0009,1.488601,-7.219427,1,8.708027,-370.093048,-517.481995,-0.009216,-0.627659
214,0.0023,0.833841,-7.499967,1,8.333808,-341.043335,-382.239532,-0.043131,-0.681019
215,0.0008,0.824221,-8.186682,1,9.010902,-342.972961,-303.883179,-0.010842,-0.517774
216,0.0023,0.581405,-6.82894,1,7.410346,-364.830902,-357.126099,-0.152764,-0.703506
217,0.0288,0.546703,-7.276118,1,7.822822,-351.75354,-582.709961,-0.038922,-0.506646
218,0.0006,-0.241225,-8.762491,1,8.521267,-356.405884,-418.255371,-0.085173,-0.562418
219,0.0022,1.301049,-7.220448,1,8.521498,-404.055908,-534.583069,0.034032,-0.670498
220,0.0007,-0.01251,-9.073878,1,9.061369,-383.515137,-395.0625,0.034458,-0.333423
221,0.0462,-0.680178,-7.739781,1,7.059604,-349.205963,-775.320801,0.056936,-0.246688
222,0.0005,1.006169,-9.868205,1,10.874373,-427.494873,-584.324341,0.046191,-0.699872
223,0,-0.075524,-11.219558,1,11.144033,-426.532776,-313.448639,-0.072716,-0.227488
224,0.0054,0.126675,-6.51156,1,6.638235,-381.488861,-744.949768,0.085277,-0.23121
225,0.0228,-0.789946,-9.068879,1,8.278933,-381.676086,-593.293213,-0.095996,-0.558944
226,0.0081,-0.510723,-8.907174,1,8.396451,-369.518768,-374.278992,-0.066357,-0.051904
227,0.0015,-0.036212,-10.046164,1,10.009953,-412.445007,-554.527649,0.080653,-0.729277
228,0.0099,0.500552,-7.496426,1,7.996978,-335.01178,-682.504517,0.01516,-0.115929
229,0.0006,1.305602,-7.997079,1,9.302681,-363.629944,-630.402222,-0.056716,-0.363751
230,0.0005,-0.787898,-10.042537,1,9.254639,-394.770508,-302.049194,0.060716,-0.341207
231,0.0237,-1.513886,-9.268035,1,7.754149,-366.615845,-477.593292,-0.051532,-0.435591
232,0.0003,-1.386556,-11.708557,1,10.322001,-403.28418,-361.932373,0.108604,-0.600612
233,0.0003,0.793232,-8.395675,1,9.188907,-336.048492,-601.559265,0.088493,-0.504513
234,0.0053,-0.247914,-9.465435,1,9.217521,-377.930115,-632.904663,-0.046135,-0.133999
235,0.1104,0.472889,-4.98844,1,5.461329,-340.21759,-414.890656,0.105567,-0.581123
236,0.0039,0.840705,-8.211222,1,9.051926,-372.938934,-365.548401,0.14563,-0.339342
237,0.001,0.954717,-8.496626,1,9.451343,-399.145508,-714.572021,0.071901,-0.645862
238,0.0004,0.255344,-9.114601,1,9.369946,-386.40921,-317.861511,-0.0396,-0.545057
239,0.0004,-0.247144,-9.521236,1,9.274093,-381.804138,-368.341614,-0.017507,-0.454497
240,0.002,-0.307616,-8.960121,1,8.652506,-413.26178,-729.60614,-0.035879,-0.244455
241,0.0015,1.177116,-7.359776,1,8.536893,-366.711182,-732.971619,-0.135294,-0.389848
242,0.0014,-0.462731,-9.709204,1,9.246472,-392.272034,-426.021637,-0.012366,-0.425734
243,0.0011,2.299793,-8.12316,1,10.422954,-391.322906,-547.805237,0.066341,-0.880457
244,0.0013,-0.249438,-8.352692,1,8.103252,-370.199158,-421.883209,0.021502,-0.665809
245,0.0036,0.18934,-7.9979,1,8.187241,-357.908447,-306.540619,-0.090664,-0.2364
246,0.0005,1.701887,-8.555652,1,10.257538,-354.124329,-625.722656,0.078645,-0.3825
247,0.0003,0.867136,-9.509858,1,10.376995,-400.181213,-410.547546,-0.060189,-0.563857
248,0.0298,-0.962448,-8.390437,1,7.427989,-338.291748,-496.010803,-0.104665,-0.318758
249,0.0001,1.731792,-8.496425,1,10.228217,-403.925964,-395.895142,0.203328,-0.808899
250,0.1635,-0.073668,-6.001911,0.875,5.928243,-343.933899,-472.16156,-0.116285,-0.570743
251,0.2503,0.528746,-7.32113,0.875,7.849876,-353.168152,-492.463531,-0.059858,-0.539771
252,0.001,0.458046,-7.460312,1,7.918358,-375.660461,-501.667358,0.019219,-0.502721
253,0.0002,2.439211,-7.896058,1,10.335268,-368.646973,-867.146118,-0.006811,-0.061821
254,0.0013,1.455323,-7.634686,1,9.090009,-385.257263,-405.981842,-0.190902,-0.33438
255,0.0137,-0.717493,-8.421055,1,7.703562,-340.355591,-295.073364,-0.014446,-0.282525
256,0.0005,0.072026,-10.441796,1,10.513822,-399.581543,-403.551117,0.012736,-0.491311
257,0.0034,2.456602,-6.935683,1,9.392285,-366.775269,-946.551758,-0.022634,-0.310923
258,0.0023,-0.260469,-8.157811,1,7.897342,-370.16803,-399.20462,-0.086001,-0.491624
259,0.0019,0.189521,-8.960347,1,9.149868,-390.688263,-387.253052,-0.027965,-0.773467
260,0.0383,-0.634585,-9.049599,1,8.415014,-367.380737,-610.446411,-0.136966,-0.229348
261,0.0007,1.331569,-6.916553,1,8.248123,-380.811096,-608.988708,-0.08218,-0.716962
262,0.0003,0.7307,-8.467335,1,9.198034,-354.015015,-475.46344,0.044111,-0.413124
263,0.0034,0.951107,-7.8413,1,8.792407,-371.120544,-644.694092,-0.130256,-0.717106
264,0.0302,-0.417582,-8.821259,1,8.403678,-359.537079,-531.171265,-0.015747,-0.492102
265,0.0003,0.22671,-10.704761,1,10.931471,-375.23172,-555.829224,0.0196,-0.245528
266,0.0004,1.309947,-8.414001,1,9.723948,-368.882507,-566.776367,-0.146582,-0.496907
267,0.002,-0.065469,-8.67453,1,8.609062,-392.370667,-452.847961,-0.23929,-0.352416
268,0.1253,-1.080886,-8.930725,0.875,7.84984,-404.610291,-677.099609,-0.025933,-0.390784
269,0.0003,3.02634,-7.608581,1,10.634921,-371.646667,-793.439575,0.011707,-0.365152
270,0.0004,0.30863,-9.690369,1,9.998999,-384.24704,-470.311127,-0.214469,-0.428677
271,0.0026,0.183378,-10.374082,1,10.557459,-419.748474,-572.315002,-0.092296,-0.470641
272,0.0002,0.829051,-10.276341,1,11.105392,-416.934906,-572.115601,-0.061106,-0.610243
273,0.0005,0.478378,-8.348228,1,8.826606,-385.555176,-429.979309,0.081192,-0.624679
274,0.0046,0.725187,-7.511992,1,8.237181,-341.655151,-400.896179,-0.045119,-0.382784
275,0.0004,2.166536,-7.963892,1,10.130429,-383.537476,-719.509766,0.003375,-0.496859
276,0.0006,-0.303011,-10.301539,1,9.998528,-403.74054,-293.924835,0.056251,-0.345426
277,0.0036,2.85348,-6.337733,1,9.191213,-348.779144,-399.882599,-0.021138,-0.652735
278,0.0002,-0.077828,-10.174214,1,10.096387,-382.470215,-317.804108,-0.064595,-0.372467
279,0.007,1.809101,-6.479497,1,8.288598,-363.273773,-410.322205,-0.034133,-0.635196
280,0.0005,0.200612,-8.032581,1,8.233194,-392.691406,-413.515198,-0.014594,-0.210718
281,0.0003,1.364635,-8.069109,1,9.433743,-390.939087,-439.483948,-0.024504,-0.533077
282,0.0027,0.606872,-7.691679,1,8.298553,-357.916504,-472.750427,-0.073242,-0.610255
283,0.0129,-0.27794,-7.244333,1,6.966393,-362.812317,-685.064209,-0.084379,-0.551593
284,0.0006,0.559283,-9.596554,1,10.155838,-394.689392,-440.974609,-0.048211,-0.703689
