instruction,reference,generated,bleu
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, Thank you for your contact to Chat Doctor. I understand your concern. If I am your doctor I suggest you that you will lose your nail. But pressure from blood in the close compartment can cause gangrene. I advise you should visit nearby doctor and get your self Chat Doctor.  Usually gangrene won't appears in all cases. I will be happy to answer your further concerned can contact me. Chat Doctor. Infectious disease specialist. Thank you.","
Hi, I have gone through your query and understood your concern. It is very likely that you have developed an infection at the site of your wound. As you have been taking antibiotics for it, there is a possibility that the antibiotic might not be effective against the particular bacteria which has infected your wound. Please get the culture done from the discharge of from the wound. This will help in identifying the causative organism and also guide about the appropriate treatment. Hope this helps. Please write back for further queries. Wishing you good health.  Chat Doctor.  R. B. D. M. S. (Dentist) ",4.099743864448501
和老公同房后阴道深处有很多小红疙瘩痒疼怎么回，无,考虑是有阴道炎的可能，建议你可以口服氧氟沙星、替硝唑胶囊，外用高猛酸钾或洁尔阴溶液清洗局部，然后再用甲硝唑泡滕片塞阴治疗即可，用药其间注意个人卫生，禁止同房，并定期复查。,"
你的情况考虑是属于湿热下注引起的症状，建议口服妇科千金片和龙胆泻肝丸治疗效果较好，饮食以清淡为主，忌辛辣刺激性食物。",0.0
"If you are a doctor, please answer the medical questions based on the patient's description.","Helots biopsy of gland in known as tubercular lymphadenitis i.e. enlargement of lymph gland was mycobacterium tubercular bacilli. As you mentioned that she took complete anti-tubercular treatment. But at present need not worry, however reduced weight is cause of concern. Another reason is loss of appetite. So get in PCR tuberculin test for tuberculosis confirmation. And also get in blood culture and Chat Doctor. Since she is also having loss of weight and loss of appetite, so consultation with a specialist is important. Good luck.","
Hi, Thanks for writing in. It is important to know if your husband has had any recent travel history. If he has not traveled recently then it is unlikely that he would have picked up any infection from somewhere else. However, it is possible that there may be a fungal infection of the skin which can cause itching and redness. Please do not worry. You can get him examined by a dermatologist who will examine the area and advise appropriate treatment. Please do not apply any ointments or creams before seeing a doctor. Hope this helps.  Chat Doctor.  R. ",2.687656959431184
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello have gone through your question and understand your concern. Presence of bruise is suggestive of internal bleeding underneath the skin or subcutaneous tissue. It may or may not be related to your previous cancer history, but caution is the word. Fix an appointment with your treating doctor at the earliest as various diagnostic tests have to be conducted to find out the cause and initiate the treatment. Good luck. Hope your concern is answered. Thank you.","
Hi, Welcome to Chat Doctor .com I am Chat Doctor.  M. S., Orthopedic Surgeon, Consultant Joint Replacement Surgeon, Knee surgeon, Shoulder surgeon, Elbow surgeon, Hip surgeon, Foot & Ankle surgeon.  I have gone through your query in detail.  You need to do an X-ray of the right shoulder.  If there is any fracture or dislocation then you need to fix it with surgery.  In case there is no fracture or dislocation then you can use a shoulder brace and take rest for 3-4 weeks.  Then you can start doing physiotherapy exercises under",3.1961807788421446
"If you are a doctor, please answer the medical questions based on the patient's description.","HiT hanks for posting on ChatDoctorSorry to reply to your query late. Hope you are ok by now. Will still like to reply your query if it may still help you. Any of the 2 diagnosis from both Doctor could be correct. However, unless I examine you I may not know with certainty what could be the problem. Being treated for H pylori may not stop your symptoms immediately. Healing is progressive and this is why you had to go on an anti-reflux/anti-secretory for some weeks again after your antibiotherapy. If I were your treating Doctor, I will, would have treated as follows:-Antibiotherapy for 14 days-Anti-secretory like omeprazole for 21 to 28 days-Antacid like maalox-Counseling on home measure to prevent gastritis/Verdi symptoms do not improve, I send you to a Astrologist for examination and a microscopy or endoscopy. If you are still struggling with your symptoms, I will advise you see a Astrologist for evaluation and better management. Hope this will help Best regards","
Hello and welcome to Chat Doctor. Thanks for your query. I understand your concern.  The fact that your son has been diagnosed with a brain tumor is quite worrying. However, there is no reason to be worried about this, since most brain tumors in children are curable. The type of tumor your son has is called a medulloblastoma. This is one of the most common types of brain tumors in children. It is also the most treatable. Treatment includes surgery to remove as much of the tumor as possible, followed by chemotherapy and radiation therapy. Your child will need to undergo these treatments for at least 2 years",1.5076546447333086
"If you are a doctor, please answer the medical questions based on the patient's description.","I recommend taking Fluconazole (Diflucan) to treat the yeast infection. Additionally, you can use Nystatin Topical Product, Clotrimazole Topical, Miconazole Topical Product, Terconazole Topical, Betamethasone-Clotrimazole Topical, Butoconazole Topical, or Zinc Oxide Topical to relieve the symptoms. If you are also experiencing pain during intercourse, then you can take Pentosan Polysulphate Sodium (Elmiron). Lastly, I recommend taking a hormonal birth control pill such as Ortho Cyclen or Portia to prevent future yeast infections.","
Hello and welcome to Chat Doctor.  Thank you for your query. I understand your concern. The symptoms you are describing are consistent with chronic liver disease, which may be due to either alcohol abuse or hepatitis C virus infection. Since you have been diagnosed with cirrhosis, this is more likely to be caused by alcohol abuse than hepatitis C virus infection. You should discuss with your doctor about stopping alcohol completely, as well as starting treatment for cirrhosis, which includes medications to reduce portal hypertension and prevent complications like esophageal varices. Hope this helps. Kindly feel free to ask me any further queries if required. Regards Chat",1.2883136875559025
G69-PD缺乏，咳嗽可以吃什么药，全部症状:感冒咳嗽，鼻塞。其它都正常发病时间及原因:可能开空调着冷，今天开始治疗情况:没有想要得到的帮助:可以吃些什么药，列如冲剂,G6PD缺乏症，又称蚕豆病，是一种先天性葡萄糖六磷酸脱氢酶缺乏，由于戊糖代谢途径受限，用药不注意或是食用蚕豆等，可以发生溶血，严重者危及生命。本病患者禁用磺胺嘧啶、SMZ、SMZ—TMP、磺胺吡啶、磺胺乙酰、呋喃旦啶、呋喃唑酮（痢特灵）、呋喃西林、蚕豆（胡豆）、珍珠粉、美蓝、奈（不接触臭丸）等。小柴胡颗粒、藿香正气丸、抗病毒口服液等可以应用。现宝宝感冒了，请在儿科医生指导下应用抗病毒口服液治疗。,"
你好，你的情况考虑为感冒，早期可以采用双黄连或板兰根进行治疗，有明显卡他性症状如流涕等症状时可以服用感康或白加黑进行治疗，同时用些解热镇痛药如布洛芬进行治疗，多喝开水对有利恢复，不吃辛辣刺激性的食物很重要。",0.0
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Your seizure 2 years ago was probably a temporary abnormal electrical activity of the brain. To prevent it from affecting the body further you were started on anti-seizure medicine.  Now since you did not have any further episode, recent studies have shown that medications can be reduced in a stepwise manner.  This is possible only if MRI and EEG are normal, which is the same for your case. So I concur with your doctor and would advise on tapering the dose based on his advice. Hope I have answered your query. Let me know if I can assist you further. Take care Chat Doctor. ","
Hi, Thanks for your query. After going through your query I came to know that you have chronic headache with anxiety. It is very common in young people. You do not need any medication for it. Here are some tips which will help you to get rid of it. 1) Avoid stress as much as possible. 2) Avoid smoking and alcohol if you have any. 3) Practice regular exercise. 4) Do meditation and yoga. 5) Avoid taking painkiller regularly. 6) Avoid reading books or watching TV at bed. 7) Take healthy diet rich in vitamins and minerals. 8)",2.639473026997111
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello friend, Your question is very important -= why am I having so many problems with my body? This cannot be answered in the way you searched. You are over weight. You get bruised easily. Furthermore, you feel pain more than reasonable. Feels dizzy. You explain everything as because of anemia. There you are wrong. Then naturally you say: I am taking Iron tabs regularly as if iron will take care of your anemia. You are lost to find reasons for your sickness. Conventional medicine cannot answer your question. I am a Homeopath and in Homeopathy we have answer for your questions, but it cannot be given through this forum. Your case has to be studied in detail. Your parents' history, their disease tendencies, your intrauterine life, your past history, treatment history etc. become important. While taking your case in detail we will concentrate on your genetic constitutional dispositions to find out your remedy. This can be done by a very detailed case taking and analysis by an expert Homeopathic physician. Therefore, my advice to you as a young friend is to tell your parents to take you to an expert Homeopath who can help you to make you free from several physical ailments you are suffering, and you will suffer in future if not taken a corrective treatment at the earliest. Your letter does not at all give any details about your mental makeup which is very important for a Homeopath to reach at the right remedy. With best wishes for speedy cure through Homeopathy,","
Hi, Thanks for writing in. It is important to know your age and sex before answering this question. If you are a woman then it is normal to have periods even after 50 years of age. This is called menopause. Menopause is when there is cessation of menstrual bleeding for at least one year. There is no need to worry about this as it is a natural process. Periods do not occur because the ovaries stop producing estrogen and progesterone hormones which regulate the menstrual cycle. Since you are having regular periods and are over 50 years of age, it is possible that you may be having irregular ov",0.507228751739823
有关于商环包皮环切手术后的几个问题，医生做过，无,你好，包茎手术比较简单，一般情况下当地男科医院都可以开展，做好卫生及抗炎护理，避免感染。两周后拆线即可。,"
你好，根据你的描述，这种情况考虑一般这个情况可以口服消炎药治疗的，建议口服左氧氟沙星胶囊及甲硝唑片治疗，效果不好到医院复查一下。",0.0
"If you are a doctor, please answer the medical questions based on the patient's description.","HELL OIT IS A Favorable FINDING THAT YOUR ULTRASOUND STUDY HAS SHOWN A FOLLICLE SIZE OF 1.8*1.9CM. IT MEANS YOU HAVE A DOMINANT FOLLICLE OF APPROPRIATE SIZE AND YOU ARE LIKELY TO OVULATE IN THIS CYCLE.YOU CAN BE GIVEN AN INJECTION AT THIS TIME FOR A CONFIRMED AND TIMELY OVULATION FOR WHICH YOU CAN CONSULT ORGAN DOCTOR. CONTINUING FOLLICULAR STUDY, URINARY LH KIT CAN PREDICT OVULATION. TIMED INTERCOURSE ON THE DAY AND DAY AFTER OVULATION IS LIKELY TO GIVE POSITIVE RESULTS. GOOD LUCK.","
Hi, dairy have gone through your question. I can understand your concern. You may have some chronic infection like hepatitis B or C, or some autoimmune disease like SLE.  You should go for complete blood count, liver function test and kidney function test. If needed go for ultrasound abdomen. It will give you exact idea regarding cause of your problem. Then you should take treatment accordingly. Hope I have answered your question, if you have doubt then I will be happy to answer. Thanks for using Chat Doctor. Wish you a very good health. ",0.540012536446339
黄体酮和活血化淤先吃哪个？，月经不调，有炎症破皮少，医生给我来了药，黄体酮个活血化淤的药，我应当先吃哪个？还是一同吃？,根据你的叙述，月经不调应当先活血化瘀，然后再吃黄体酮建议按照医生开的药连续服食个疗程，不要间断，看一看情况如何，多歇息妇科病的再次出现严重危害了女性的健康，患者需要有生存中留意救治期间切勿同房。并且留意个人卫生。最后期望女性患者可以获得有效的救治。,"
根据你的叙述，你这种情况应当先用活血化瘀的药物。建议你留意歇息，不要加班，始终保持心情舒畅，饮食清淡，少吃辛辣刺激性食物，忌烟酒，不定期复检彩超。以上是对“黄体酮和活血化淤先吃哪个？”这个问题的建议，期望对您有帮助，祝您健康！",0.0
外阴-阴道-牙龈综合征的就诊科室是什么？,妇产科；妇科,"
内科；妇产科；妇科；妇科门诊；皮肤科",0.0
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi there, Thanks for posting in Chat Doctor. Cirrhosis is an irreversible condition. Liver transplantation is the only definitive treatment. The suggestion given by your hepatologist is the right one. Whatever your brother-in-law has suggested is only supportive care to prevent complications of cirrhosis. But unfortunately some of these options like shunt itself would lead to many other complications. Yes fractionated bilirubin not needed. I hope that answers your query. Regards.","
Hello, Welcome to Chat Doctor . I have gone through your query and would like to tell you that in case of high cholesterol, the best treatment is lifestyle modification i.e. dietary modifications and regular exercise. You can take medicines if your cholesterol levels do not come down with these measures. In case you have any symptoms like chest pain, breathlessness or swelling in legs, you need to consult a cardiologist at the earliest. Hope this information helps you. Thanks for using Chat Doctor. Wishing you good health. Regards. ",3.811731595376086
视网膜脱离复发的风险评估因素有些什么？,眼轴长度,"
年龄；性别；吸烟史；糖尿病史；眼外伤史；手术时间；手术方式；玻璃体切割术；眼底病变类型；术后并发症；玻璃体积血；手术次数；黄斑裂孔大小；手术时间过长；手术次数多；眼底出血；视网膜复位不完全；黄斑裂孔直径大；术后视力恢复差；黄斑裂孔直径大、视网膜复位不完全；年龄大；黄斑裂孔直径大和视网膜复位不完全；黄斑裂孔直径大、视网膜复位不完全和",0.0
头晕眼花手麻是什么原因？，发病时间不确定，突然之间头晕，然后就是手麻，背部也麻，视力模糊，浑身没劲。,"你好，颈椎病，西医的手术只能取出病变的椎间盘,而不能防治其他的以后就不会发生病变,而中医辨症用药就可以解决这些西医不能解决的问题,可以在治疗的同时防治其他椎体的退变,给患者体质一个修复康复的过程.所以是上等的治疗方法.建议找中医专科大夫为你诊治。颈椎动脉康复汤对本病有很好的效果,可以辨症加减使用的.用中药治好很少复发的.","
你好！根据你的描述考虑是脑供血不足引起的症状。可以服用脑心通胶囊和银杏叶片治疗。平时注意休息，避免劳累。清淡饮食。多喝水。必要时到医院做相关检查明确诊断对症治疗。",0.0
严重下腰痛的影像学检查有些什么？,影像学检查；椎间盘造影术；X线片,"
磁共振成像；X线平片；CT检查；超声检查",0.0
"If you are a doctor, please answer the medical questions based on the patient's description.",Palpitations after exercise is normal phenomenon but it's too high or associated with ache its investigation is warranted. So mentioned something irregular beats. Now further you should try measure pulse rate and try to get ECG done during episodes. Alternatively you can get holder attached which will monitor your cardiac activity throughout the day and let us know if any abnormality is there. Also avoid smoking alcohol too much coffee or cola Chat Doctor. ,"
Hi, Thank you for asking question on Chat Doctor. I went through your history and would like to make suggestions for you as follows:1. As you have been taking anti-inflammatory medicine for past 2 months, it is very likely that pain in your shoulder is due to inflammation of shoulder joint (shoulder arthritis).2. I would suggest you to consult an orthopedic surgeon and get yourself examined.3. You may require MRI shoulder to rule out any other possible cause of pain.4. Treatment depends upon severity of symptoms. In case of mild to moderate symptoms, simple analgesics like ibuprofen or diclofen",1.7681218928858249
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Precum may enter into vagina unknowingly before ejaculation, and it contains sufficient sperm concentration that cause pregnancy if sex was done in fertile phase of period. You got last period on 12th September, did sex on 4th October. So you did sex in the safe period of cycle if we consider 30 day of cycle. Ovulation will occur at 27th or 28th September, and it will live only for 12 to 24 hours. But you did sex after ovulation so no chance of pregnancy. But you told you have irregular cycle. So if it has sometime long period like 35 days or more than pregnancy is possible. In this case you can take I pill with in 72 hours of pill to prevent unwanted pregnancy. Avoid stress, take healthy diet and Chat Doctor.  Use safe sex practice like condom in future to prevent unwanted pregnancy. Hope this may help you. Contact further if follow up needed. Best regards,","
Hi, Welcome to Chat Doctor forum.  Thanks for choosing Chat Doctor. Forum.  Your son is suffering from asthma, and he is getting attacks of bronchitis. I advise you to consult a pulmonologist for diagnosis and treatment. You may need to take inhaled bronchodilators and anti-inflammatory medicines. He may also require oral antibiotics and antihistaminic medicines. Wishing for a quick recovery.  Best regards.  Chat Doctor.  D.(Pediatrics)  M.D. (Pediatrics).",1.6701553727612617
"If you are a doctor, please answer the medical questions based on the patient's description.","Thanks for your query, I have gone through your query. The gummy smile can be because of increased width of attached gingival or protruded maxillary and mandibular anterior or front teeth. The gummy smile or appearance of gums on smiling can be corrected by the gum surgery or orthodontic treatment. Consult an oral physician or an orthodontist and take an opinion. I feel you don't need lip reduction surgery. I hope my answer will help you, take care.","
Hi, dairy have gone through your question. I can understand your concern. You may have some musculoskeletal pain or muscle strain.  It is not due to any heart disease.  You should go for routine blood investigations like CBC, ESR, and uric acid level.  If all these are normal then no need to worry about heart diseases.  You should take analgesic and anti-inflammatory Chat Doctor.  If pain persists than consult your physician and get done ECG and 2 of chest. Hope I have answered your question, if you have doubt then I will be happy to answer. Thanks for using Chat Doctor",3.8720820466432047
月经推迟七天白带多腰酸轻微尿频怎么办，月经推迟第七天早上下来测了两道杠有白带腰酸轻微尿频轻微厌食是怀上天数太少测不出的还是妇科病,不知晓你月经周期是多长时间，固定规律吗，如果月经周期固定规律，你现在这种情况早孕试纸测验阴性是可以剔除早孕的。如果白带有异常，尿频有可能是由于炎症打击引来。建议你可以抽血化验血hcg还是比较准确知晓如何怀上的。堪用妇科洗液擦洗外阴，始终保持外阴清洁，不要吃极冷辛辣的食物。此外，男科病患者在救治期间，患者的饮食状况和护理也是很关键的，患者一定要消化维生素，预防工作闹肚子，并且清淡饮食，以免引发不必要的伤害。,"
根据你的叙述，你这种情况有可能是怀上的。建议你过再仔细观察几天，如果月经还不来的话，可以用早孕试纸检测一下，或者去医院做B超仔细检查。以上是对“月经推迟第七天早上下来测了两道杠有白带腰酸”这个问题的建议，期望对您有帮助，祝您健康！",0.0
"垂体大腺瘤的治疗方法有哪些，现27，年底28岁
未婚，未生育，之前月经正常，第一次来是12岁，比较规律，每月大概会规律的缩后1个星期，大概5天左右，有少数时候时间长些，最长时可能十天左右，当时吃了我妈泡的解热的中草药，大概从2008年1月左右，到现在2009年8月停经一年半多点，2009年3月（大约，记不太清了）月经来了一点，有来的迹象，后又没有了。",从提供的病史看，垂体催乳素瘤诊断明确，并且较大，有局部压迫的症状出现，要尽早治疗，治疗方案上，先服用溴隐停是首选，可使症状减轻，瘤体缩小，到时再考虑是否手术，或继续服药。个人认为放疗不作为首选，如行放疗，若无效或复发，将失去手术机会，并造成垂体低功，闭经不能生育。因此，可以先用溴隐停，剂量可以大一点，从一片开始加到每天6片，使症状得到控制再减量，用药期间注意低血压和胃肠道反应,"
你好，垂体大腺瘤是一种常见的颅内肿瘤。由于其位置深在，周围又有许多重要的神经结构，所以手术难度很大，但目前的医学水平已经能够进行手术治疗。手术的目的是将肿瘤完整地切除，以达到治愈的目的。对于不能完全切除的肿瘤，可以通过放疗、药物等方法进行控制。祝你早日康复！",0.0
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, I have studied your case with diligence. As per your symptom and history there is possibility of muscle spasm in shoulder or there can be cervical disc compression. Due to compression of this nerve root there is pain associated with it. For these symptoms muscle relaxant with analgesic and neurotrophic medication can be started consulting your treating doctor. Till time take rest and continue analgesic available over the counter take rest, and hot fomentation. Physiotherapy like ultrasound and inferential therapy will give quick relief. You may need to do MRI cervical spine if symptoms persist. I will advise checking your it B12 and it D3 level. Hope this answers your query. If you have additional questions or follow-up queries then please do not hesitate in writing to us. I will be happy to answer your queries. Wishing you good health. Take care.","
Hi! I am Chat Doctor answering your query. From the history of your son, it appears that he has developed an allergic reaction to the food he had consumed recently. It is quite common for kids to develop such symptoms after having certain types of foods. If the rash is not much severe and he is otherwise fine, then there is no need to worry. However, if the rash becomes more severe and spreads all over his body, then you should take him to the nearest emergency room at the earliest. In the meantime, you could give him an antihistamine like cetirizine or fexofenadine, which",1.9040598749369746
慢性呼吸系统疾病的病因是什么？,不锻炼身体；吸烟；不健康的饮食,"
呼吸道感染；吸烟；职业性粉尘和化学物质；环境因素；遗传因素；免疫功能低下；过敏体质；不良的生活习惯；气道高反应性；环境污染；年龄；细菌；病毒感染；病毒；吸烟史；吸烟；感染；吸烟、饮酒；吸烟史；烟草烟雾；吸烟者；长期吸烟；吸烟、饮酒史；吸烟；吸烟、饮酒；饮酒；吸烟、饮酒史；吸烟史及饮酒；吸烟史；饮酒史；吸烟；饮酒史；吸烟；吸烟史；吸烟；吸烟；吸烟、饮酒史；吸烟；饮酒史；吸烟；饮酒；吸烟史",0.0
枕骨大孔区脑膜瘤的发病部位是什么？,后组颅神经；颅底深部；颈髓和后组颅神经；椎动脉,"
小脑后下外侧；延髓背外侧；小脑半球；中颅凹底；小脑后下部；延髓背侧；小脑后下外侧；小脑蚓部；小脑半球深面；小脑后外侧；小脑后上部；延髓背外侧；小脑后部；小脑后内侧；小脑半球深面及小脑蚓部；小脑半球深面和小脑蚓部；小脑后外侧部；小脑后上外侧；小脑后外侧部；小",0.0
角膜潰瘍的辅助治疗有些什么？,氬激光治療,"
护理干预；综合护理干预；常规护理干预；心理护理；护理干预措施；心理护理干预；护理；临床护理路径；常规护理；健康教育；护理路径；护理干预方法；护理干预；临床护理路径干预；优质护理；临床护理；临床护理路径护理；护理路径模式；整体护理；临床护理路径模式；整体护理干预；护理路径模式护理；临床护理路径模式护理；护理路径护理；护理路径模式的护理；护理路径模式护理干预；护理路径模式干预；临床护理路径模式干预；临床护理路径模式护理干预；临床护理路径护理干预；护理",0.0
"If you are a doctor, please answer the medical questions based on the patient's description.","HI, thanks for using Chat Doctor Enlarged lymph nodes are normally as a result of infection or inflammation in the surrounding areas. They can also become enlarged if the nodes themselves are infected or in malignant conditions. A full blood count and ESR (checks for inflammation) would be able to determine if infection, infection or other serious conditions are present. It would be best to be reviewed by your doctor. Dizziness can be due to different possible causes such as conditions of the inner ear, low blood pressure, inadequate fluids, side effect of medication. An ENT doctor or neurologist may be helpful to determining the cause for your dizziness. I hope this helps","
Hi! Thanks for asking on Chat Doctor. If I am your doctor I would advise you to get your blood sugar level checked first thing in the morning before breakfast (fasting) and then again 2-2 hours after breakfast (post lunch). This is called as oral glucose tolerance test. You have to also check if you have diabetes by doing random blood sugar test. If your fasting blood sugar is above 100 mg/dl or post lunch blood sugar is above 140 mg/dl or HbA1c is above 6.5% then it is very much likely that you have diabetes. In",1.440293637103943
