instruction,reference,generated,meteor
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, Thank you for your contact to Chat Doctor. I understand your concern. If I am your doctor I suggest you that you will lose your nail. But pressure from blood in the close compartment can cause gangrene. I advise you should visit nearby doctor and get your self Chat Doctor.  Usually gangrene won't appears in all cases. I will be happy to answer your further concerned can contact me. Chat Doctor. Infectious disease specialist. Thank you.","
Hi, I have gone through your query and understand your concern. It is possible to be allergic to milk even if you do not get symptoms of allergy. Milk allergy can cause skin rash or itching. But it can also cause abdominal pain, vomiting and loose motions. The best way to find out whether you are allergic to milk or not is by doing skin prick test or blood tests for specific antibodies against milk protein. If you are confirmed to be allergic to milk, then you need to avoid milk and dairy products completely. Hope this helps you. Please write back for further queries. Wishing you good health. Take care. Chat Doctor.",0.18542345304591423
和老公同房后阴道深处有很多小红疙瘩痒疼怎么回，无,考虑是有阴道炎的可能，建议你可以口服氧氟沙星、替硝唑胶囊，外用高猛酸钾或洁尔阴溶液清洗局部，然后再用甲硝唑泡滕片塞阴治疗即可，用药其间注意个人卫生，禁止同房，并定期复查。,"
根据你的描述属于性生活有关，需要增加营养补充维生素微量元素，易消化易吸收饮食，避免不良刺激，可以服用中成药龙胆泻肝丸调理。注意卫生，避免不良刺激。严重时医院就诊。祝早日康复。 ，妇科疾病的出现不仅仅会影响女性的生活，还会导致妇科疾病的出现，因此，最好去医院的妇科做一下B超检查，找出病因后对症治疗，平时注意饮食的调理，清淡容易消化的食物，不可以吃辛辣刺激生冷的食物。ncyw0u 5t 3yjg 24b5678c ",0.0
"If you are a doctor, please answer the medical questions based on the patient's description.","Helots biopsy of gland in known as tubercular lymphadenitis i.e. enlargement of lymph gland was mycobacterium tubercular bacilli. As you mentioned that she took complete anti-tubercular treatment. But at present need not worry, however reduced weight is cause of concern. Another reason is loss of appetite. So get in PCR tuberculin test for tuberculosis confirmation. And also get in blood culture and Chat Doctor. Since she is also having loss of weight and loss of appetite, so consultation with a specialist is important. Good luck.","
Hi, Welcome to Chat Doctor forum.  I am Chat Doctor.  I have gone through your query with due attention and would like to make you aware that it seems that you may be having the infection in the urinary tract which needs to be investigated by urine routine and microscopic examination, and culture and sensitivity test.  Once these reports are out you can take treatment accordingly.  You can also consult a Urologist for clinical assessment and further treatment.  Wishing for a quick and complete recovery. Thank you.  Best regards.  ChatDoctor.  (Please note that since you are consulting me, I alone will be",0.16432170555312087
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello have gone through your question and understand your concern. Presence of bruise is suggestive of internal bleeding underneath the skin or subcutaneous tissue. It may or may not be related to your previous cancer history, but caution is the word. Fix an appointment with your treating doctor at the earliest as various diagnostic tests have to be conducted to find out the cause and initiate the treatment. Good luck. Hope your concern is answered. Thank you.","
Hello dear, I understand your concern. In my opinion the pain in lower back is related to the muscle spasm and it has nothing to do with the kidney stone. The pain in the back due to muscle spasm will be relieved by simple muscle relaxant Chat Doctor.  If there is no relief then we have to think about the other causes like urinary tract infection or musculoskeletal problems. So better to consult a physician once for a proper evaluation. And get a urine routine examination done. And take medicines as advised by him. Hope this helps you. Best regards...  Thank you.  Please feel free to contact me if",0.21762610076371572
"If you are a doctor, please answer the medical questions based on the patient's description.","HiT hanks for posting on ChatDoctorSorry to reply to your query late. Hope you are ok by now. Will still like to reply your query if it may still help you. Any of the 2 diagnosis from both Doctor could be correct. However, unless I examine you I may not know with certainty what could be the problem. Being treated for H pylori may not stop your symptoms immediately. Healing is progressive and this is why you had to go on an anti-reflux/anti-secretory for some weeks again after your antibiotherapy. If I were your treating Doctor, I will, would have treated as follows:-Antibiotherapy for 14 days-Anti-secretory like omeprazole for 21 to 28 days-Antacid like maalox-Counseling on home measure to prevent gastritis/Verdi symptoms do not improve, I send you to a Astrologist for examination and a microscopy or endoscopy. If you are still struggling with your symptoms, I will advise you see a Astrologist for evaluation and better management. Hope this will help Best regards","
Hi, I had gone through your question and understand your concern. It is possible that you may have an infection in the tooth root. In this case, it would be better to consult a dentist and get a proper examination done. You might need to take antibiotics and also go for root canal treatment of the tooth. Hope this answers your question. If you have additional questions or follow-up questions then please do not hesitate in writing to us. I will be happy to answer your questions whenever you need. Wishing you good health. Take care.  Chat Doctor.  S. M. Khan, Dento Maxillo Facial Surgeon.",0.163639820218593
"If you are a doctor, please answer the medical questions based on the patient's description.","I recommend taking Fluconazole (Diflucan) to treat the yeast infection. Additionally, you can use Nystatin Topical Product, Clotrimazole Topical, Miconazole Topical Product, Terconazole Topical, Betamethasone-Clotrimazole Topical, Butoconazole Topical, or Zinc Oxide Topical to relieve the symptoms. If you are also experiencing pain during intercourse, then you can take Pentosan Polysulphate Sodium (Elmiron). Lastly, I recommend taking a hormonal birth control pill such as Ortho Cyclen or Portia to prevent future yeast infections.","
Hi and welcome to Chat Doctor . It seems that you have a fungal infection of your toenails. This is usually caused by a fungus called Trichophyton which can be treated with an antifungal nail lacquer such as Lamisil or Lamisil AT . This should be applied once daily for 12 months until the nails are completely clear. You may need to use a stronger oral treatment if this does not work. Hope this helps and best wishes . Please let me know if I can assist you further. Regards . Chat Doctor.  S. M. Khan MD Dermatology, FDSRCI. ",0.14621737179558497
G69-PD缺乏，咳嗽可以吃什么药，全部症状:感冒咳嗽，鼻塞。其它都正常发病时间及原因:可能开空调着冷，今天开始治疗情况:没有想要得到的帮助:可以吃些什么药，列如冲剂,G6PD缺乏症，又称蚕豆病，是一种先天性葡萄糖六磷酸脱氢酶缺乏，由于戊糖代谢途径受限，用药不注意或是食用蚕豆等，可以发生溶血，严重者危及生命。本病患者禁用磺胺嘧啶、SMZ、SMZ—TMP、磺胺吡啶、磺胺乙酰、呋喃旦啶、呋喃唑酮（痢特灵）、呋喃西林、蚕豆（胡豆）、珍珠粉、美蓝、奈（不接触臭丸）等。小柴胡颗粒、藿香正气丸、抗病毒口服液等可以应用。现宝宝感冒了，请在儿科医生指导下应用抗病毒口服液治疗。,"
你好，根据你的描述，考虑是支气管炎的症状，建议服用阿奇霉素片和复方氨酚烷胺胶囊和鲜竹沥口服液治疗看看。平时多喝水，饮食以清淡为主。注意保暖，避免受凉。祝早日康复！以上是对“G69-PD缺乏，咳嗽可以吃什么药”这个问题的建议，希望对您有帮助，祝您健康！ ",0.0
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Your seizure 2 years ago was probably a temporary abnormal electrical activity of the brain. To prevent it from affecting the body further you were started on anti-seizure medicine.  Now since you did not have any further episode, recent studies have shown that medications can be reduced in a stepwise manner.  This is possible only if MRI and EEG are normal, which is the same for your case. So I concur with your doctor and would advise on tapering the dose based on his advice. Hope I have answered your query. Let me know if I can assist you further. Take care Chat Doctor. ","
Hello dear, Thank you for your contact to Chat Doctor. I read and understand your concern. I am Chat Doctor answering your concern. Yes, it is possible that the pain is due to the kidney stone. As there is no treatment for the pain, so we need to find out the cause of the pain. You can do ultrasound abdomen to know about the stone in the kidney. If stone is small than 5mm then it will pass in urine within 2 days time. But if stone is larger than 5mm than surgery is needed. Please consult the urologist for further management. Till that time take plenty of",0.1847931541861583
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello friend, Your question is very important -= why am I having so many problems with my body? This cannot be answered in the way you searched. You are over weight. You get bruised easily. Furthermore, you feel pain more than reasonable. Feels dizzy. You explain everything as because of anemia. There you are wrong. Then naturally you say: I am taking Iron tabs regularly as if iron will take care of your anemia. You are lost to find reasons for your sickness. Conventional medicine cannot answer your question. I am a Homeopath and in Homeopathy we have answer for your questions, but it cannot be given through this forum. Your case has to be studied in detail. Your parents' history, their disease tendencies, your intrauterine life, your past history, treatment history etc. become important. While taking your case in detail we will concentrate on your genetic constitutional dispositions to find out your remedy. This can be done by a very detailed case taking and analysis by an expert Homeopathic physician. Therefore, my advice to you as a young friend is to tell your parents to take you to an expert Homeopath who can help you to make you free from several physical ailments you are suffering, and you will suffer in future if not taken a corrective treatment at the earliest. Your letter does not at all give any details about your mental makeup which is very important for a Homeopath to reach at the right remedy. With best wishes for speedy cure through Homeopathy,","
Hello dear, Thank you for your contact to Chat Doctor. I read and understand your concern. I am Chat Doctor answering your concern. Yes, it is possible to have this type of symptoms after the surgery. But if the symptoms are increasing day by day then you need to consult your doctor again. Please take care of yourself. I will be happy to answer any further query. Wishing you good health. Thank you, ChatDoctorInfectious diseases specialist, ChatDoctor.  Wish you a very good health. Take care.  Chat Doctor.  Infectious diseases specialist, ChatDoctor.  Wish you good health. Thanks,",0.12035872781065088
有关于商环包皮环切手术后的几个问题，医生做过，无,你好，包茎手术比较简单，一般情况下当地男科医院都可以开展，做好卫生及抗炎护理，避免感染。两周后拆线即可。,"
你好，根据你的描述，一般术后一个月内避免性生活和手淫，以免伤口感染。平时注意局部卫生，勤换内裤，忌辛辣刺激性食物，祝你早日康复！ ，相信大家都知道男性功能障碍对患者的伤害比较大，因此要尽快接受治疗，生活中要注意饮食问题，不要食用刺激食物，合理饮食。而且必要时可以定期复诊。期望男性患者可以获得专业的治疗。",0.0
"If you are a doctor, please answer the medical questions based on the patient's description.","HELL OIT IS A Favorable FINDING THAT YOUR ULTRASOUND STUDY HAS SHOWN A FOLLICLE SIZE OF 1.8*1.9CM. IT MEANS YOU HAVE A DOMINANT FOLLICLE OF APPROPRIATE SIZE AND YOU ARE LIKELY TO OVULATE IN THIS CYCLE.YOU CAN BE GIVEN AN INJECTION AT THIS TIME FOR A CONFIRMED AND TIMELY OVULATION FOR WHICH YOU CAN CONSULT ORGAN DOCTOR. CONTINUING FOLLICULAR STUDY, URINARY LH KIT CAN PREDICT OVULATION. TIMED INTERCOURSE ON THE DAY AND DAY AFTER OVULATION IS LIKELY TO GIVE POSITIVE RESULTS. GOOD LUCK.","
Hi, dairy have gone through your question. I can understand your concern. You may have some benign lesion like sebaceous cyst or skin tag.  Or it can be some malignant lesion like skin cancer.  You should go for biopsy of that lump. It will give you exact diagnosis. Then you should take treatment accordingly. Hope I have answered your question, if you have doubt then I will be happy to answer. Thanks for using Chat Doctor. Wish you a very good health.  Regards.  Chat Doctor.  M. S. Surgery, FICM, FICS, FRCS (Edin)  General Surge",0.11890606420927467
黄体酮和活血化淤先吃哪个？，月经不调，有炎症破皮少，医生给我来了药，黄体酮个活血化淤的药，我应当先吃哪个？还是一同吃？,根据你的叙述，月经不调应当先活血化瘀，然后再吃黄体酮建议按照医生开的药连续服食个疗程，不要间断，看一看情况如何，多歇息妇科病的再次出现严重危害了女性的健康，患者需要有生存中留意救治期间切勿同房。并且留意个人卫生。最后期望女性患者可以获得有效的救治。,"
你这种情况应当首先用活血化瘀的药物实施治疗，可以增加经量，同时也可以用黄体酮来稳定月经不调的问题，一般情况下是没影响的，用完活血化瘀的药物后就可以用黄体酮了。建议患者在日常生活中要均衡补充身体营养,多做做一些有氧运动来锻炼身体,并且要保持愉快的心情，以此来增强体质加快康复速度。希望我的回答对你有帮助。以上是对这个问题的建议，期望对您有帮助，祝您健康！希望上述的答案可以帮助到您，谢谢。如果您还有其他想了解或者",0.0
外阴-阴道-牙龈综合征的就诊科室是什么？,妇产科；妇科,"
妇科；口腔科；妇科门诊；产科门诊；妇产科；口腔科门诊；妇科门诊；产科；妇产科门诊；妇科病房；妇科门诊部；妇科病区；妇科门诊部；妇科急诊；妇科急诊室；妇科门诊医生；妇科门诊医生组；妇科门诊医生组、妇科门诊；妇科门诊医生组、妇科门诊、妇科门诊部；妇科门诊部、妇科门诊；妇科门诊医生组、妇科门诊、妇科门诊部、妇科门诊部；妇科门诊医生组、妇科门诊、妇科门诊部、妇科门诊部、妇科门诊；妇科门诊医生组",0.0
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi there, Thanks for posting in Chat Doctor. Cirrhosis is an irreversible condition. Liver transplantation is the only definitive treatment. The suggestion given by your hepatologist is the right one. Whatever your brother-in-law has suggested is only supportive care to prevent complications of cirrhosis. But unfortunately some of these options like shunt itself would lead to many other complications. Yes fractionated bilirubin not needed. I hope that answers your query. Regards.","
Hi thanks for asking question. Your symptoms of headache and nausea are not related to any particular cause. But if you have fever then there is chance of infection. In such case I will advise you to consult with physician and get done blood count, ESR, urine routine and culture sensitivity, liver function test, chest x-ray. You may need antibiotic therapy. If you have no fever then there is possibility of stress and anxiety. In such case you should get done mental health assessment. Hope this will help you. Wishing you good health. Thanks.  Chat Doctor.  For further query you can contact me. Regards.  Thank",0.16710821558695457
视网膜脱离复发的风险评估因素有些什么？,眼轴长度,"
玻璃体手术次数；糖尿病史；高龄；眼外伤史；高血压史；高度近视；术后眼压增高；白内障史；术前视网膜脱离时间；吸烟；青光眼史；眼底出血；视网膜脱离类型；糖尿病；糖尿病性视网膜病变；眼部炎症；眼底出血量；年龄；手术切口位置；术后玻璃体液化；白内障；糖尿病性黄斑水肿；术后眼压控制；白内障手术；手术方式；术后玻璃体液化情况；手术时间；眼外伤；糖尿病性视网",0.0
头晕眼花手麻是什么原因？，发病时间不确定，突然之间头晕，然后就是手麻，背部也麻，视力模糊，浑身没劲。,"你好，颈椎病，西医的手术只能取出病变的椎间盘,而不能防治其他的以后就不会发生病变,而中医辨症用药就可以解决这些西医不能解决的问题,可以在治疗的同时防治其他椎体的退变,给患者体质一个修复康复的过程.所以是上等的治疗方法.建议找中医专科大夫为你诊治。颈椎动脉康复汤对本病有很好的效果,可以辨症加减使用的.用中药治好很少复发的.","
你好，这种情况可能是颈椎病或脑供血不足引起的，建议你去医院做个颈椎CT和脑电图检查，查明病因再治疗。平时注意休息，避免劳累和精神紧张。祝早日康复！ ，我们都知道内科疾病对患者的伤害比较的，一旦发现后就该及时救治，同时患者日常中还需要重视自身的护理，并且合理饮食，病情好转后适当的运动，希望内科疾病患者可以及时得到救治！谢谢！",0.0
严重下腰痛的影像学检查有些什么？,影像学检查；椎间盘造影术；X线片,"
磁共振成像；X线平片；CT扫描；MRI检查；超声影像；核素骨显像；CT；X线检查；脊柱MRI；MR检查；X线片；MRI诊断；MRI；X线平片检查；X线片检查；X线；超声；X线平扫；超声图像；X线片及MRI；X线片和MRI；CT检查；X线平片检查；X线、CT、MRI；CT扫描检查；MRI扫描；X线平扫检查；X线平扫图像；X线平扫检查法；",0.0
"If you are a doctor, please answer the medical questions based on the patient's description.",Palpitations after exercise is normal phenomenon but it's too high or associated with ache its investigation is warranted. So mentioned something irregular beats. Now further you should try measure pulse rate and try to get ECG done during episodes. Alternatively you can get holder attached which will monitor your cardiac activity throughout the day and let us know if any abnormality is there. Also avoid smoking alcohol too much coffee or cola Chat Doctor. ,"
Hi, Thank you for providing the brief history of your friend. I am Chat Doctor. K and will discuss possible options for her treatment. As per the symptoms, it seems to be an allergic reaction to the medication given for the arthritis. It is important to know whether she had any previous history of allergies or not. If there was no history of allergy in the past then this could be due to the side effect of the Chat Doctor.  She needs to consult her physician for further evaluation and management. Hope this helps you to understand better and take appropriate steps. Regards.  Chat Doctor.  K  Internal Medicine.  S.",0.14743548387096778
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Precum may enter into vagina unknowingly before ejaculation, and it contains sufficient sperm concentration that cause pregnancy if sex was done in fertile phase of period. You got last period on 12th September, did sex on 4th October. So you did sex in the safe period of cycle if we consider 30 day of cycle. Ovulation will occur at 27th or 28th September, and it will live only for 12 to 24 hours. But you did sex after ovulation so no chance of pregnancy. But you told you have irregular cycle. So if it has sometime long period like 35 days or more than pregnancy is possible. In this case you can take I pill with in 72 hours of pill to prevent unwanted pregnancy. Avoid stress, take healthy diet and Chat Doctor.  Use safe sex practice like condom in future to prevent unwanted pregnancy. Hope this may help you. Contact further if follow up needed. Best regards,","
Hello, I have gone through your query and understand your concern. The pain in lower abdomen may be due to many causes like urinary tract infection, stone or any other cause. As you mention that it is getting better with antibiotic treatment, so this is good sign. You need to continue antibiotics for 5 days and take plenty of fluids. If there is no relief from pain then you should consult urologist for clinical examination and investigation. Hope this helps you. Take care.  Chat Doctor.  V. Anand, M.D., FACP, FACC, FASCP.  Director - Internal Medicine & Cardiology",0.1648313121059942
"If you are a doctor, please answer the medical questions based on the patient's description.","Thanks for your query, I have gone through your query. The gummy smile can be because of increased width of attached gingival or protruded maxillary and mandibular anterior or front teeth. The gummy smile or appearance of gums on smiling can be corrected by the gum surgery or orthodontic treatment. Consult an oral physician or an orthodontist and take an opinion. I feel you don't need lip reduction surgery. I hope my answer will help you, take care.","
Hi, Thanks for asking. Based on your clinical history and query, my opinion is as follows:1. You have developed allergic reaction to the medication.2. It is not likely to be due to any other cause like fungal infection or bacterial infection.3. Treatment of choice is antihistamines like cetirizine.4. Apply mild steroid cream like triamcinolone over can help.5. If symptoms persist or become severe, then consult dermatologist for evaluation and treatment. Hope it helps. Any further queries, happy to help again. Regards Chat Doctor.  V. Subrahmanyam MD;Dis",0.13324873096446702
月经推迟七天白带多腰酸轻微尿频怎么办，月经推迟第七天早上下来测了两道杠有白带腰酸轻微尿频轻微厌食是怀上天数太少测不出的还是妇科病,不知晓你月经周期是多长时间，固定规律吗，如果月经周期固定规律，你现在这种情况早孕试纸测验阴性是可以剔除早孕的。如果白带有异常，尿频有可能是由于炎症打击引来。建议你可以抽血化验血hcg还是比较准确知晓如何怀上的。堪用妇科洗液擦洗外阴，始终保持外阴清洁，不要吃极冷辛辣的食物。此外，男科病患者在救治期间，患者的饮食状况和护理也是很关键的，患者一定要消化维生素，预防工作闹肚子，并且清淡饮食，以免引发不必要的伤害。,"
根据你的叙述，考虑你这种情况可能会是月经不调或者怀上的。建议你可以用早孕试纸测验几下，如果两条线都是红色的，那么就是怀上了，可以去医院做B超仔细检查，确认宫内孕后就可以到医院做产前检查了。以上是对“月经推迟第七天早上下来测了两道杠有白带腰酸轻微”这个问题的建议，期望对您有帮助，祝您健康！",0.0
"垂体大腺瘤的治疗方法有哪些，现27，年底28岁
未婚，未生育，之前月经正常，第一次来是12岁，比较规律，每月大概会规律的缩后1个星期，大概5天左右，有少数时候时间长些，最长时可能十天左右，当时吃了我妈泡的解热的中草药，大概从2008年1月左右，到现在2009年8月停经一年半多点，2009年3月（大约，记不太清了）月经来了一点，有来的迹象，后又没有了。",从提供的病史看，垂体催乳素瘤诊断明确，并且较大，有局部压迫的症状出现，要尽早治疗，治疗方案上，先服用溴隐停是首选，可使症状减轻，瘤体缩小，到时再考虑是否手术，或继续服药。个人认为放疗不作为首选，如行放疗，若无效或复发，将失去手术机会，并造成垂体低功，闭经不能生育。因此，可以先用溴隐停，剂量可以大一点，从一片开始加到每天6片，使症状得到控制再减量，用药期间注意低血压和胃肠道反应,"
垂体腺瘤是一种常见的良性肿瘤，大多数为功能性肿瘤，分泌各种激素。由于垂体位于颅底深处，周围有丰富的血管、神经和重要的内分泌器官，故手术治疗难度较大。目前认为，对于直径小于4cm的无功能腺瘤，首选放射治疗；对于直径大于4cm的功能性腺瘤，首选手术治疗。对于直径在4-6cm之间的腺瘤，根据具体情况可选择放射或手术治疗。对于直径超过6cm的腺瘤，应考虑手术切除。此外，对于复发的腺瘤，也应采用手术治疗。对于术后仍有症状的",0.0
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, I have studied your case with diligence. As per your symptom and history there is possibility of muscle spasm in shoulder or there can be cervical disc compression. Due to compression of this nerve root there is pain associated with it. For these symptoms muscle relaxant with analgesic and neurotrophic medication can be started consulting your treating doctor. Till time take rest and continue analgesic available over the counter take rest, and hot fomentation. Physiotherapy like ultrasound and inferential therapy will give quick relief. You may need to do MRI cervical spine if symptoms persist. I will advise checking your it B12 and it D3 level. Hope this answers your query. If you have additional questions or follow-up queries then please do not hesitate in writing to us. I will be happy to answer your queries. Wishing you good health. Take care.","
Hi there! Welcome to Chat Doctor. I am Chat Doctor. I have read your query carefully and understand your concerns. As per your history it seems like you had an injury which led to pain in your back. It is very common for people to get pain in their back after having an accident or an injury. You need to take care of your back by doing simple exercises and avoid lifting heavy weights. If the pain persists even after 3-4 days then you should visit your local hospital for further evaluation. Hope this answers your question. If you have any further questions or if you require any clarification, do not hesitate to write back",0.2736615330868439
