instruction,reference,generated,cosine_similarity
"If you are a doctor, please answer the medical questions based on the patient's description.","Helots biopsy of gland in known as tubercular lymphadenitis i.e. enlargement of lymph gland was mycobacterium tubercular bacilli. As you mentioned that she took complete anti-tubercular treatment. But at present need not worry, however reduced weight is cause of concern. Another reason is loss of appetite. So get in PCR tuberculin test for tuberculosis confirmation. And also get in blood culture and Chat Doctor. Since she is also having loss of weight and loss of appetite, so consultation with a specialist is important. Good luck.","
Hi, dairy have gone through your question. I can understand your concern. You may have some infection in tooth or gum.  You should go for oral examination and if required x-ray of teeth. Then you should go for proper treatment.  Take antibiotics like amoxicillin.  Apply mouthwash like chlorhexidine locally. Hope I have answered your question, if you have doubt then I will be happy to answer. Thanks for using Chat Doctor. Wish you a very good health.",0.6479569673538208
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello have gone through your question and understand your concern. Presence of bruise is suggestive of internal bleeding underneath the skin or subcutaneous tissue. It may or may not be related to your previous cancer history, but caution is the word. Fix an appointment with your treating doctor at the earliest as various diagnostic tests have to be conducted to find out the cause and initiate the treatment. Good luck. Hope your concern is answered. Thank you.","
Hi, I have gone through your question and understand your concern. In my opinion it is difficult to say without seeing the images of the MRI scan. But from your symptoms and MRI report, I suspect it is disc bulge at L4-L5 level. Disc bulge can cause back pain as well as leg pain (sciatica). It may also cause numbness in legs and difficulty in walking. You should take painkillers and muscle relaxants. Also, apply hot water pad over back. Avoid lifting heavy weights. Take proper rest. Physiotherapy like ultrasound and TENS will be helpful. Hope this helps. Please write",0.6873804926872253
"If you are a doctor, please answer the medical questions based on the patient's description.","HiT hanks for posting on ChatDoctorSorry to reply to your query late. Hope you are ok by now. Will still like to reply your query if it may still help you. Any of the 2 diagnosis from both Doctor could be correct. However, unless I examine you I may not know with certainty what could be the problem. Being treated for H pylori may not stop your symptoms immediately. Healing is progressive and this is why you had to go on an anti-reflux/anti-secretory for some weeks again after your antibiotherapy. If I were your treating Doctor, I will, would have treated as follows:-Antibiotherapy for 14 days-Anti-secretory like omeprazole for 21 to 28 days-Antacid like maalox-Counseling on home measure to prevent gastritis/Verdi symptoms do not improve, I send you to a Astrologist for examination and a microscopy or endoscopy. If you are still struggling with your symptoms, I will advise you see a Astrologist for evaluation and better management. Hope this will help Best regards","
Hi, I have gone through your question. I can understand your concern. You should go for chest x-ray and ECG to rule out lung infection or heart problem.  You should also go for blood investigation like complete blood count, sugar level and creatinine to rule out other causes.  You should take antibiotic as per report.  If there is no improvement in three days then you should consult physician and start appropriate treatment. Hope I have answered your question, if you have doubt then I will be happy to answer. Thanks for using Chat Doctor. Wish you a very good health. Don't forget to click, thank you.",0.8325669169425964
"If you are a doctor, please answer the medical questions based on the patient's description.","I recommend taking Fluconazole (Diflucan) to treat the yeast infection. Additionally, you can use Nystatin Topical Product, Clotrimazole Topical, Miconazole Topical Product, Terconazole Topical, Betamethasone-Clotrimazole Topical, Butoconazole Topical, or Zinc Oxide Topical to relieve the symptoms. If you are also experiencing pain during intercourse, then you can take Pentosan Polysulphate Sodium (Elmiron). Lastly, I recommend taking a hormonal birth control pill such as Ortho Cyclen or Portia to prevent future yeast infections.","
Hi, Thanks for writing in. Your father is having a severe form of diabetes which needs to be treated with insulin. The blood sugar levels are very high and he should be given short acting insulin like regular insulins 2 times a day or long acting insulins like glargine once a day. He will need to take oral hypoglycemic agents along with the insulin therapy. Since his hemoglobin A1C level is very high, he needs to take it down to normal range within two months. This will help in reducing complications from diabetes. Please do not worry about giving him insulin as it is safe and",0.6161071062088013
G69-PD缺乏，咳嗽可以吃什么药，全部症状:感冒咳嗽，鼻塞。其它都正常发病时间及原因:可能开空调着冷，今天开始治疗情况:没有想要得到的帮助:可以吃些什么药，列如冲剂,G6PD缺乏症，又称蚕豆病，是一种先天性葡萄糖六磷酸脱氢酶缺乏，由于戊糖代谢途径受限，用药不注意或是食用蚕豆等，可以发生溶血，严重者危及生命。本病患者禁用磺胺嘧啶、SMZ、SMZ—TMP、磺胺吡啶、磺胺乙酰、呋喃旦啶、呋喃唑酮（痢特灵）、呋喃西林、蚕豆（胡豆）、珍珠粉、美蓝、奈（不接触臭丸）等。小柴胡颗粒、藿香正气丸、抗病毒口服液等可以应用。现宝宝感冒了，请在儿科医生指导下应用抗病毒口服液治疗。,"
你好，根据你的描述，这种情况考虑一般你这个是支气管炎的症状，建议去正规医院做个血常规和胸片检查，明确诊断后对症治疗，平时注意休息，多喝水，祝早日康复！",0.521713137626648
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Your seizure 2 years ago was probably a temporary abnormal electrical activity of the brain. To prevent it from affecting the body further you were started on anti-seizure medicine.  Now since you did not have any further episode, recent studies have shown that medications can be reduced in a stepwise manner.  This is possible only if MRI and EEG are normal, which is the same for your case. So I concur with your doctor and would advise on tapering the dose based on his advice. Hope I have answered your query. Let me know if I can assist you further. Take care Chat Doctor. ","
Hi, Thanks for asking. Based on your query, my opinion is as follows.1. Your symptoms are related to chronic lung disease.2. Inhaling in cold air can trigger bronchospasm and coughing.3. Avoidance of cold air and using warm mask while going out will help.4. If symptoms are persistent, then you need regular inhalers.5. Chat Doctor. 6. Get evaluated by pulmonologist if needed. Hope it helps. Any further queries feel free to ask. Wishing you good health. Regards - ",0.7555942535400391
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello friend, Your question is very important -= why am I having so many problems with my body? This cannot be answered in the way you searched. You are over weight. You get bruised easily. Furthermore, you feel pain more than reasonable. Feels dizzy. You explain everything as because of anemia. There you are wrong. Then naturally you say: I am taking Iron tabs regularly as if iron will take care of your anemia. You are lost to find reasons for your sickness. Conventional medicine cannot answer your question. I am a Homeopath and in Homeopathy we have answer for your questions, but it cannot be given through this forum. Your case has to be studied in detail. Your parents' history, their disease tendencies, your intrauterine life, your past history, treatment history etc. become important. While taking your case in detail we will concentrate on your genetic constitutional dispositions to find out your remedy. This can be done by a very detailed case taking and analysis by an expert Homeopathic physician. Therefore, my advice to you as a young friend is to tell your parents to take you to an expert Homeopath who can help you to make you free from several physical ailments you are suffering, and you will suffer in future if not taken a corrective treatment at the earliest. Your letter does not at all give any details about your mental makeup which is very important for a Homeopath to reach at the right remedy. With best wishes for speedy cure through Homeopathy,","
Hi, Thanks for writing in. It is important to know your age and sex before we discuss about your symptoms. Since you have mentioned that you are 2 year old female, it is important to know if you have any other symptoms like fever or pain in the stomach. You have been having these symptoms for how long? Is there any history of abdominal surgery or injury? If you are not having any other symptoms then it is possible that you have a urinary tract infection. Please get a urine test done including a culture and sensitivity report. This will help us understand if there is an infection. You should also be examined by a doctor who",0.765025794506073
有关于商环包皮环切手术后的几个问题，医生做过，无,你好，包茎手术比较简单，一般情况下当地男科医院都可以开展，做好卫生及抗炎护理，避免感染。两周后拆线即可。,"
您好！根据您的描述，您是做了包皮环切术的患者。目前出现了水肿的现象，建议您到医院进行检查，确定原因后对症治疗。平时注意局部卫生，勤换内裤，保持干燥，避免辛辣刺激性食物。祝您健康！",0.7150155305862427
"If you are a doctor, please answer the medical questions based on the patient's description.","HELL OIT IS A Favorable FINDING THAT YOUR ULTRASOUND STUDY HAS SHOWN A FOLLICLE SIZE OF 1.8*1.9CM. IT MEANS YOU HAVE A DOMINANT FOLLICLE OF APPROPRIATE SIZE AND YOU ARE LIKELY TO OVULATE IN THIS CYCLE.YOU CAN BE GIVEN AN INJECTION AT THIS TIME FOR A CONFIRMED AND TIMELY OVULATION FOR WHICH YOU CAN CONSULT ORGAN DOCTOR. CONTINUING FOLLICULAR STUDY, URINARY LH KIT CAN PREDICT OVULATION. TIMED INTERCOURSE ON THE DAY AND DAY AFTER OVULATION IS LIKELY TO GIVE POSITIVE RESULTS. GOOD LUCK.","
Hello, Welcome to Chat Doctor, The symptoms which you have mentioned could be due to musculoskeletal pain or nerve entrapment in your back. As you are having pain in your left side of abdomen and leg, I would suggest you to undergo for X-ray of the lumbar spine to rule out any bony lesion. For your condition I would suggest you to follow1. Hot water fomentation2. Physiotherapy3. Muscle relaxant4. Analgesic5. If all these measures fail you may require surgical intervention. Thank you. ",0.5450865626335144
黄体酮和活血化淤先吃哪个？，月经不调，有炎症破皮少，医生给我来了药，黄体酮个活血化淤的药，我应当先吃哪个？还是一同吃？,根据你的叙述，月经不调应当先活血化瘀，然后再吃黄体酮建议按照医生开的药连续服食个疗程，不要间断，看一看情况如何，多歇息妇科病的再次出现严重危害了女性的健康，患者需要有生存中留意救治期间切勿同房。并且留意个人卫生。最后期望女性患者可以获得有效的救治。,"
这种情况建议您在医生指导下用药治疗，不要自己盲目用药，以免引来不良反应。一般情况下，可以同时服食这两种药物，但是建议您先服食黄体酮类药物，然后再服食活血化瘀类药物。建议您到正规医院复诊，明确确诊后对症治疗。妇科病是一种容易病发的妇科疾病，在服药期间，女性需要有看重自身的护理，尤其是护理方面，建议患者多留意始终保持外阴清洁，勤换内裤。最后期望女性患者可以获得有效的治疗。",0.7610635757446289
外阴-阴道-牙龈综合征的就诊科室是什么？,妇产科；妇科,"
妇科；口腔科",0.818458616733551
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi there, Thanks for posting in Chat Doctor. Cirrhosis is an irreversible condition. Liver transplantation is the only definitive treatment. The suggestion given by your hepatologist is the right one. Whatever your brother-in-law has suggested is only supportive care to prevent complications of cirrhosis. But unfortunately some of these options like shunt itself would lead to many other complications. Yes fractionated bilirubin not needed. I hope that answers your query. Regards.","
Hello and welcome to Chat Doctor. Thanks for your query. I understand your concern and would try to help you with it as much as possible. This could be due to many causes. Some of them include:1) Post-infectious arthritis2) Ankylosing spondylitis3) Gout4) Osteoarthritis5) Psoriatic arthritis6) Reiter syndrome7) Other rare conditions like rheumatoid arthritis, etc. You need to consult an orthopedic surgeon or a rheumatologist who can examine you, order necessary investigations like X-ray, MRI scan, blood tests, etc., and",0.7645552754402161
视网膜脱离复发的风险评估因素有些什么？,眼轴长度,"
吸烟史；年龄；高度近视；性别；手术时间；手术方式；术后体位；玻璃体积血；眼底检查次数；手术中玻璃体切割次数；术前视力；手术次数；合并白内障；合并糖尿病；术前眼压；术前黄斑裂孔面积；术前玻璃体出血量；术前眼底情况；术前视网膜色素上皮层厚度；术前眼底裂孔数；术前视网膜色素上皮层的完整性；术前黄斑裂孔直径；术前玻璃体积血；术前视网膜色素",0.5129803419113159
头晕眼花手麻是什么原因？，发病时间不确定，突然之间头晕，然后就是手麻，背部也麻，视力模糊，浑身没劲。,"你好，颈椎病，西医的手术只能取出病变的椎间盘,而不能防治其他的以后就不会发生病变,而中医辨症用药就可以解决这些西医不能解决的问题,可以在治疗的同时防治其他椎体的退变,给患者体质一个修复康复的过程.所以是上等的治疗方法.建议找中医专科大夫为你诊治。颈椎动脉康复汤对本病有很好的效果,可以辨症加减使用的.用中药治好很少复发的.","
你好，根据你的描述，考虑是颈椎病引起的症状，可以做颈椎CT看看，确诊后治疗。注意休息，避免劳累，保持良好的心情和饮食习惯，祝早日康复！",0.8658285140991211
严重下腰痛的影像学检查有些什么？,影像学检查；椎间盘造影术；X线片,"
磁共振成像；CT扫描；MRI检查；X线平片",0.8354802131652832
"If you are a doctor, please answer the medical questions based on the patient's description.",Palpitations after exercise is normal phenomenon but it's too high or associated with ache its investigation is warranted. So mentioned something irregular beats. Now further you should try measure pulse rate and try to get ECG done during episodes. Alternatively you can get holder attached which will monitor your cardiac activity throughout the day and let us know if any abnormality is there. Also avoid smoking alcohol too much coffee or cola Chat Doctor. ,"
Hi, Welcome to Chat Doctor .com I am Chat Doctor. Michael and I am here to help you today. After going through your question, I would say that you need to get your blood sugar checked once again after 10 days of this medication. If it is still high, then you may have to go for an oral glucose tolerance test (OGTT). Also, if you are not able to lose weight, then you should get your thyroid function tests checked as well. Hope this answers your query. If you have any further questions, please feel free to ask. Kindly rate my response if it helps you. Regards,",0.6648157238960266
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Precum may enter into vagina unknowingly before ejaculation, and it contains sufficient sperm concentration that cause pregnancy if sex was done in fertile phase of period. You got last period on 12th September, did sex on 4th October. So you did sex in the safe period of cycle if we consider 30 day of cycle. Ovulation will occur at 27th or 28th September, and it will live only for 12 to 24 hours. But you did sex after ovulation so no chance of pregnancy. But you told you have irregular cycle. So if it has sometime long period like 35 days or more than pregnancy is possible. In this case you can take I pill with in 72 hours of pill to prevent unwanted pregnancy. Avoid stress, take healthy diet and Chat Doctor.  Use safe sex practice like condom in future to prevent unwanted pregnancy. Hope this may help you. Contact further if follow up needed. Best regards,","
Hi, Welcome to Chat Doctor forum.  Thanks for your query. Your symptoms suggest that it could be a problem of in the muscles or bones in the foot.  It would be better if you consult an orthopedist for further evaluation and treatment.  You may need to have X-ray of the feet to rule out any bony lesion.  You may also need to have a bone scan to rule out any other bony lesion.  I do hope that you have found something helpful, and I will be glad to answer any further query. Take care.  Chat Doctor.  S. D. Naidu, MD,",0.6168944835662842
"If you are a doctor, please answer the medical questions based on the patient's description.","Thanks for your query, I have gone through your query. The gummy smile can be because of increased width of attached gingival or protruded maxillary and mandibular anterior or front teeth. The gummy smile or appearance of gums on smiling can be corrected by the gum surgery or orthodontic treatment. Consult an oral physician or an orthodontist and take an opinion. I feel you don't need lip reduction surgery. I hope my answer will help you, take care.","
Hello, Thanks for choosing Chat Doctor for posting your query. I have gone through your question in detail and I can understand what you are going through. Your blood test suggests that you might be having some kind of viral infection which is causing the rise in liver enzymes. It could be either viral hepatitis or other kinds of infections. You should get further tests done like ultrasound abdomen to rule out any organic cause for the elevation in liver enzymes. Hope I am able to answer your concerns. If you have any further query, I would be happy to help you. In future if you wish to contact me directly, you can use the below-mentioned",0.6465673446655273
月经推迟七天白带多腰酸轻微尿频怎么办，月经推迟第七天早上下来测了两道杠有白带腰酸轻微尿频轻微厌食是怀上天数太少测不出的还是妇科病,不知晓你月经周期是多长时间，固定规律吗，如果月经周期固定规律，你现在这种情况早孕试纸测验阴性是可以剔除早孕的。如果白带有异常，尿频有可能是由于炎症打击引来。建议你可以抽血化验血hcg还是比较准确知晓如何怀上的。堪用妇科洗液擦洗外阴，始终保持外阴清洁，不要吃极冷辛辣的食物。此外，男科病患者在救治期间，患者的饮食状况和护理也是很关键的，患者一定要消化维生素，预防工作闹肚子，并且清淡饮食，以免引发不必要的伤害。,"
根据你叙述的情况来看，如果已经怀孕了，那么月经就会推迟。建议去医院抽血化验一下hcg，如果仔细检查结果低于2，就证明是怀孕了。如果仔细检查结果正常，那么考虑是月经不调。建议平时留意歇息，不要操劳，始终保持心情舒畅，不要吃辛辣刺激性的食物，注意个人卫生，勤换内裤，防止盆浴。除了及时救治妇科病外，患者朋友理应保持良好的心态去直面疾病，只有这样才能令得患者及时对症救治，同时要多看重自身饮食护理，观注营养均衡",0.779525637626648
"垂体大腺瘤的治疗方法有哪些，现27，年底28岁
未婚，未生育，之前月经正常，第一次来是12岁，比较规律，每月大概会规律的缩后1个星期，大概5天左右，有少数时候时间长些，最长时可能十天左右，当时吃了我妈泡的解热的中草药，大概从2008年1月左右，到现在2009年8月停经一年半多点，2009年3月（大约，记不太清了）月经来了一点，有来的迹象，后又没有了。",从提供的病史看，垂体催乳素瘤诊断明确，并且较大，有局部压迫的症状出现，要尽早治疗，治疗方案上，先服用溴隐停是首选，可使症状减轻，瘤体缩小，到时再考虑是否手术，或继续服药。个人认为放疗不作为首选，如行放疗，若无效或复发，将失去手术机会，并造成垂体低功，闭经不能生育。因此，可以先用溴隐停，剂量可以大一点，从一片开始加到每天6片，使症状得到控制再减量，用药期间注意低血压和胃肠道反应,"
您好！您的情况考虑为垂体瘤，需要进一步检查明确。建议您去医院检查，做CT或MRI检查，以明确诊断，然后在医生指导下积极治疗。平时注意休息，避免过度劳累，保持心情舒畅，定期复查。",0.8006731271743774
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, I have studied your case with diligence. As per your symptom and history there is possibility of muscle spasm in shoulder or there can be cervical disc compression. Due to compression of this nerve root there is pain associated with it. For these symptoms muscle relaxant with analgesic and neurotrophic medication can be started consulting your treating doctor. Till time take rest and continue analgesic available over the counter take rest, and hot fomentation. Physiotherapy like ultrasound and inferential therapy will give quick relief. You may need to do MRI cervical spine if symptoms persist. I will advise checking your it B12 and it D3 level. Hope this answers your query. If you have additional questions or follow-up queries then please do not hesitate in writing to us. I will be happy to answer your queries. Wishing you good health. Take care.","
Hi, Thanks for your query. I read your query and understand your concerns. You have been diagnosed with cancer of stomach and lymph nodes involvement in left neck region. You should go for surgery as soon as possible. Surgery is the main treatment of cancer of stomach. In case of advanced stage surgery can be done along with chemotherapy and radiotherapy. If cancer has spread to distant sites then only chemotherapy will be helpful. The survival rate is about 50% at 5 years if the cancer is detected early. You need to discuss with your treating physician about all options available to you. You should take good care of yourself. Hope this",0.726523756980896
慢性呼吸系统疾病的病因是什么？,不锻炼身体；吸烟；不健康的饮食,"
吸烟；环境因素；职业暴露；遗传因素；感染；营养不良；年龄；性别；肺部基础疾病；呼吸道病毒感染；气道炎症；氧化应激；肥胖；支气管舒张剂；呼吸道感染；运动；环境因素、遗传背景和生活方式；吸烟史；吸烟；空气污染；吸烟史、职业暴露、环境污染；吸烟及环境污染；吸入有害气体；吸烟史及职业暴露；吸烟史；遗传易感性；吸烟、饮酒、环境暴露；吸烟史、职业暴露和环境污染；吸烟；吸烟及环境暴露；职业暴露；吸烟；职业暴露、吸烟；",0.5683132410049438
枕骨大孔区脑膜瘤的发病部位是什么？,后组颅神经；颅底深部；颈髓和后组颅神经；椎动脉,"
小脑；小脑半球；桥脑；第四脑室；小脑蚓部；小脑中脚；第四脑室顶；延髓；第四脑室底部；延髓背外侧；小脑后下外侧；小脑上脚；小脑前下外侧；小脑蚓部及小脑半球；小脑中脚和小脑后下外侧；小脑上脚和小脑后下外侧；小脑蚓部、小脑半球；小脑上脚、小脑后下外侧；小脑上脚、小脑后下",0.5517944693565369
角膜潰瘍的辅助治疗有些什么？,氬激光治療,"
抗生素滴眼；人工泪液；护理干预；抗病毒治疗；局部用药；全身应用抗生素；营养神经；眼部护理；局部用糖皮质激素；综合护理干预；全身抗感染治疗；常规护理；眼部护理措施；抗病毒及免疫调节剂；健康教育；心理护理；眼部清洁；局部用药治疗；全身联合局部用药；全身联合局部；眼部护理干预；眼部护理方法；局部抗病毒药物；局部应用抗病毒药物；局部抗病毒治疗；全身应用抗病毒药物；眼部护理措施干预；全身联合局部用药治疗；全身抗病毒治疗；局部用药",0.3688202500343323
"If you are a doctor, please answer the medical questions based on the patient's description.","HI, thanks for using Chat Doctor Enlarged lymph nodes are normally as a result of infection or inflammation in the surrounding areas. They can also become enlarged if the nodes themselves are infected or in malignant conditions. A full blood count and ESR (checks for inflammation) would be able to determine if infection, infection or other serious conditions are present. It would be best to be reviewed by your doctor. Dizziness can be due to different possible causes such as conditions of the inner ear, low blood pressure, inadequate fluids, side effect of medication. An ENT doctor or neurologist may be helpful to determining the cause for your dizziness. I hope this helps","
Hello, Welcome to Chat Doctor. I have gone through your query and here is my advice. If the blood sugar is 100 then it is high but not very high. The symptoms like weakness and fatigue can be due to low blood sugar. But this will be better if you take more food or eat something sweet. As far as diabetes is concerned there is no need of medicines at all if the diet is controlled. You should avoid foods which are rich in simple sugars like sugary drinks, candy, fruit juice etc. Also, you should avoid refined carbohydrates like white bread, white rice, pasta etc. You should also avoid",0.7617716193199158
